Category,Key,English,Korean,Notes
main menu,menu1,Continue Game,게임 이어하기,my notes
,menu1b,Continue Quick Game,빠른 게임 이어하기,
,menu2,Story Mode,튜토리얼 시작하기,
,menu3,Start Game,게임 시작하기,
,menu3b,Start Quick Game,빠른 게임 시작하기,
,menu4,Options,환경설정,
,menu6,Credits,만든이들,
,menu5,Quit Game,게임 그만두기,
,menu7,Save Manager,저장 관리자,
,menu8,Atlas,도감,
,menu9,Pause,일시정지,
,menu10,Controls,조작키,
,menu11,Mods,모드,
Modding,modSelectTitle,Installed Modpack,설치된 모드팩,
,modGetModsButton,Get Mods,모드 얻기,
,modLearnModsButton,Learn How To Make Mods,모드 만드는 방법,
,modDebugToggle,Debugging,디버깅,
,modDebugWarning,"Are you sure you want to enable Debugging? \n Debugging mode can lead to instability,\n softlocks and broken save files. \n Only proceed if you know what you're doing. ","디버깅을 활성화하시겠습니까? \n 디버깅 모드는 불안전성, 소프트락, 저장 파일 손상 등을 유발할 수 있습니다. \n필요 여부를 확인하시고 진행하세요.",
,modURLConfirm,Do you want to open this URL? ,이 링크를 여시겠습니까?,
,modURLWarning,/x\n\nThis link was set by the author of the modpack.\nNeither Steam or Team Backpack have control over the content at this URL. ,/x\n\n모드 팩의 제작자가 설정한 링크입니다.\nSteam이나 Team Backpack은 이 링크의 콘텐츠에 대한 조작 권한이 없습니다.,
,modUnloadWarning,Are you sure you want to unload this modpack? ,해당 모드 팩을 언로드하시겠습니까?,
,modUnloadWarning2,This can lead to issues if done during your run. ,게임 도중에 언로드를 하면 문제가 발생할 수 있습니다.,
,modLoadError,Could not load modpack. ,모드팩을 로드할 수 없습니다,
,modWebsiteButton,Website,웹사이트,
credits,cr1,Backpack Hero was created by:,백팩 히어로 제작:,
,cr2,Translators:,번역:,
,cr3,Additional content by:,추가 콘텐츠 기여:,
,cr4,All rights owned by:,모든 권한 소유:,
,cr5,Fonts:,글꼴:,
,cr6,Created with:,제작 도구:,
,cr7,Special Thanks:,특별히 감사드립니다,
,cr-kickstarter,Kickstarter supporters:,킥스타터 후원자:,
Save Slots,storySave1,Game,게임,
,storySave2,items discovered,발견한 아이템,
,storySave3,missions complete,완료한 미션,
,storySave4,Delete,삭제,
,storyExplanation,In Haversack Hill,헤이버색 힐에서,
Twitch,twitch1,Twitch Options,트위치 환경설정,
,twitch2,Authenticate,인증,
,twitch2b,Clear Auth Data,인증 데이터 제거,
,twitch3,Enable Integration,통합 활성화,
,twitch4a,Twitch is enabled!,트위치가 활성화되었습니다!,
,twitch4b,Twitch is disabled!,트위치가 비활성화되었습니다!,
,twitchEX,Authentication required,인증 필요,
,twitchAU,Authorizing Twitch,트위치 인증 중,
,twitchAE,Twitch is already authenticated. Clear data first,트위치가 이미 인증되었습니다. 먼저 데이터를 제거하세요.,
,twitchTPolls,Enable Polls,투표 활성화,
,twitchTDeathCounter,Enable Death Counter,데스 카운터 활성화,
,twitchTEmoteEffect,Enable Emote Effect,이모티콘 효과 활성화,
,twitchLGeneral,General Settings,일반 설정,
,twitchLPolls,Poll Settings,투표 설정,
,twitchLPresets,Presets,프리셋,
,twitchTDisableLoot,Disable regular combat rewards,일반 전투 보상 비활성화,
,twitchLPollLength,Poll length in seconds,투표 시간 (초),
,twitchLPollCount,Polls per combat,전투당 투표,
,twitchLPositive,Positive,긍정,
,twitchLNegative,Negative,부정,
,twitchLSpecial,Special,특수,
,twitchTItems,Specific Items,특정 아이템,
,twitchTItemsType,Items By Type,종류별 아이템,
,twitchTItemsRarity,Items By Rarity,희귀도별 아이템,
,twitchTStatusPlayer,Status Effects (Player),상태 효과 (플레이어),
,twitchTStatusEnemy,Status Effects (Enemy),상태 효과 (적),
,twitchTBlessings,Blessings,축복,
,twitchTHazards,Hazards,위험 요소,
,twitchTCurses,Curses,저주,
,twitchTDecideBoss,Decide Boss,보스 결정,
,twitchTDecideRelic,Decide Relics,유물 결정,
,twitchPresetCustom,Custom,맞춤 설정,
,twitchPresetAllEnabled,All Enabled,모두 활성화,
,twitchPresetOnlyNegative,Chat is your enemy,나쁜 효과만,
,twitchPresetOnlyPositive,Chat is your friend,좋은 효과만,
,twitchPresetChatLootOnly,Chat Loot Only,아이템만,
,twitchPresetStatus,Through the fire and rage,효과만,
,twitchStatus,Status: /x,상태: /x,
