Category,Key,English,Korean,Notes
main menu,menu1,Continue Game,게임 이어하기,
,menu2,Story Mode,튜토리얼 시작하기, WARNING: ENGLISH TEXT CHANGED ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3,Start Game,게임 시작하기, WARNING: ENGLISH TEXT CHANGED #####################################################
,menu3b,Start Quick Game,빠른 게임 시작하기, WARNING: ENGLISH PLACEHOLDER #####################################################
,menu4,Options,환경설정,
,menu6,Credits,만든이들,
,menu5,Quit Game,게임 그만두기,
,menu7,Save Manager,저장 관리자, WARNING: AUTO-TRANSLATION #####################################################
,menu8,Atlas,도감, WARNING: AUTO-TRANSLATION ##################################################### WARNING: ENGLISH TEXT CHANGED #####################################################
,menu9,Pause,일시정지, WARNING: ENGLISH PLACEHOLDER #####################################################
,menu10,Controls,조작키, WARNING: ENGLISH PLACEHOLDER #####################################################
,menu11,Mods,모드, WARNING: ENGLISH PLACEHOLDER #####################################################
Modding,modSelectTitle,Installed Modpack,모드팩 설치 완료, WARNING: ENGLISH PLACEHOLDER #####################################################
,modGetModsButton,Get Mods,모드 얻기, WARNING: ENGLISH PLACEHOLDER #####################################################
,modLearnModsButton,Learn How To Make Mods,모드 만드는 방법을 배우기, WARNING: ENGLISH PLACEHOLDER #####################################################
,modDebugToggle,Debugging,디버깅, WARNING: ENGLISH PLACEHOLDER #####################################################
,modDebugWarning,"Are you sure you want to enable Debugging? \n Debugging mode can lead to instability,\n softlocks and broken save files. \n Only proceed if you know what you're doing. ","디버깅을 활성화하시겠습니까?\n디버깅 모드는 불안정성, 소프트락 및 손상된 저장 파일을 야기할 수 있습니다.\n알고 계시면 계속 진행하세요.", WARNING: ENGLISH PLACEHOLDER #####################################################
,modURLConfirm,Do you want to open this URL? ,이 URL을 열고 싶나요?, WARNING: ENGLISH PLACEHOLDER #####################################################
,modURLWarning, /x \n\nThis link was set by the author of the modpack.\nNeither Steam or Team Backpack have control over the content at this URL. , /x \n\n이 링크는 모드팩 제작자가 설정한 것입니다.\n스팀이나 팀 백팩은 이 URL의 콘텐츠를 통제하지 않습니다., WARNING: ENGLISH PLACEHOLDER #####################################################
,modUnloadWarning,Are you sure you want to unload this modpack? ,이 모드팩을 언로드하시겠습니까?, WARNING: ENGLISH PLACEHOLDER #####################################################
,modUnloadWarning2,This can lead to issues if done during your run. ,이 작업은 실행 중일 때 문제를 일으킬 수 있습니다., WARNING: ENGLISH PLACEHOLDER #####################################################
,modLoadError,Could not load modpack. ,모드팩을 불러올 수 없습니다., WARNING: ENGLISH PLACEHOLDER #####################################################
